date_key,month_start,year,quarter,month,year_month
35ac4f8e28fe43c22253c7132dce8ea9,2019-12-01,2019,4,12,2019-12
3788416ebd532ca99d4b0459e697c49a,2010-12-01,2010,4,12,2010-12
37a5117199a38b7e31d389445dab0cef,2011-11-01,2011,4,11,2011-11
382c60177ad34bd661d5039aa879aeec,2017-11-01,2017,4,11,2017-11
38c343b5c13f75876efc9310060cce67,2011-08-01,2011,3,8,2011-08
3a3867aea652b792bfc2ddce4be3d503,2017-07-01,2017,3,7,2017-07
3c728e700f2d840641447a21f3d03830,2014-07-01,2014,3,7,2014-07
3caec2f2179bd5dc50666060dd63580a,2010-05-01,2010,2,5,2010-05
3ce067c964e90e0150773ffb786e42ab,2019-02-01,2019,1,2,2019-02
3e7e739b92f7b3f5bba0229477027dc2,2011-04-01,2011,2,4,2011-04
4543c288e9aa3a353cca0152e7f9095d,2015-10-01,2015,4,10,2015-10
